categoria,serie,tipo,fecha,valor,porcentaje
generacion,Motores diésel,Motores diésel,2023-01-15 23:00:00+00:00,5679.314,0.0035456994348596195
generacion,Hidroeólica,Hidroeólica,2023-01-15 23:00:00+00:00,63.789,3.982463749147525e-05
generacion,Nuclear,Nuclear,2023-01-15 23:00:00+00:00,152576.651,0.09525638927931673
generacion,Solar térmica,Solar térmica,2023-01-15 23:00:00+00:00,580.014,0.0003621133312950591
generacion,Generación total,Generación total,2023-01-15 23:00:00+00:00,800873.58,1.0
generacion,Turbina de gas,Turbina de gas,2023-01-15 23:00:00+00:00,2654.654,0.0016573489663624565
generacion,Hidráulica,Hidráulica,2023-01-15 23:00:00+00:00,98137.988,0.06126933791473056
generacion,Otras renovables,Otras renovables,2023-01-15 23:00:00+00:00,6661.355,0.004158805563295021
generacion,Hidroeólica,Hidroeólica,2023-01-16 23:00:00+00:00,65.788,4.1934982915803466e-05
generacion,Turbina de gas,Turbina de gas,2023-01-16 23:00:00+00:00,2839.445,0.0018099361215626495
generacion,Generación total,Generación total,2023-01-16 23:00:00+00:00,784404.755,1.0
generacion,Carbón,Carbón,2023-01-16 23:00:00+00:00,7358.626,0.004690579674010264
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-16 23:00:00+00:00,38229.235,0.024368309062583388
generacion,Cogeneración,Cogeneración,2023-01-16 23:00:00+00:00,28880.577,0.018409231213801096
generacion,Motores diésel,Motores diésel,2023-01-16 23:00:00+00:00,6078.648,0.0038746883934939946
generacion,Eólica,Eólica,2023-01-16 23:00:00+00:00,393797.331,0.2510166648594577
generacion,Ciclo combinado,Ciclo combinado,2023-01-16 23:00:00+00:00,45403.104,0.028941119817663525
generacion,Otras renovables,Otras renovables,2023-01-16 23:00:00+00:00,5467.019,0.003484820155125144
generacion,Turbina de vapor,Turbina de vapor,2023-01-16 23:00:00+00:00,4356.388,0.0027768750585914033
generacion,Nuclear,Nuclear,2023-01-16 23:00:00+00:00,152199.984,0.09701622984169699
generacion,Residuos no renovables,Residuos no renovables,2023-01-16 23:00:00+00:00,2960.0395,0.0018868061935703082
generacion,Solar térmica,Solar térmica,2023-01-16 23:00:00+00:00,124.171,7.91498261634072e-05
generacion,Residuos renovables,Residuos renovables,2023-01-16 23:00:00+00:00,2145.8515,0.0013678215782870927
generacion,Hidráulica,Hidráulica,2023-01-16 23:00:00+00:00,94498.548,0.060235833221077305
generacion,Cogeneración,Cogeneración,2023-01-17 23:00:00+00:00,30407.816,0.018966502370611954
generacion,Generación total,Generación total,2023-01-17 23:00:00+00:00,801618.965,1.0
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-17 23:00:00+00:00,57178.057,0.03566411193876882
generacion,Otras renovables,Otras renovables,2023-01-17 23:00:00+00:00,5436.989,0.003391255220614697
generacion,Turbina de vapor,Turbina de vapor,2023-01-17 23:00:00+00:00,4159.702,0.0025945631164053114
